what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374658124280
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1374658126397
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374658126567
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374658126592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658128725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658128910
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374658129838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658133765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658133966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658140700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658141728
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1374658141844
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374658143518
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1374658145346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658148698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658148987
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374658151729
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1374658153354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658155584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658155961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658158973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658166807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658171164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658171815
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1374658172406
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1374658172794
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1374658172800
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1374658172802
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1374658172804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658172826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658174834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658183679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658208134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658213989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658217282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658219341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658242985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658247023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658252126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658252652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658255082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658255726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658256989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658260853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658272491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658421589
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374658422907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658425854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658429830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658436080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658450697
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1374658453562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658460628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658489619
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374658489849
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1374658490193
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1374658490193
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1374658490193
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1374658490194
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1374658490194
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1374658490194
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1374658490195
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1374658490196
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1374658490196
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1374658490198
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1374658490198
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1374658490199
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1374658490201
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1374658490202
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1374658490203
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1374658490203
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1374658490205
