what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636156471
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1371636157436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636160933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636161142
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1371636161568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636163337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636163534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636165811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636166029
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1371636167744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636176181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636187169
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1371636187548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636189629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636190202
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1371636190687
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1371636191319
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1371636191378
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1371636191380
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1371636191382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636191409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636192234
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1371636197557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636212029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636212213
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1371636213532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636213859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636214596
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1371636224530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371636234260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636235730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636236420
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1371636236990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636237330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636238120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636262740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636263490
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1371636266670
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1371636267710
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1371636270180
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1371636278200
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1371636278210
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1371636281450
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371636286140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636288080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636288400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371636291480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371636293270
