what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139475514
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1369139476232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139476559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139477308
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369139486512
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369139486543
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369139488634
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369139511176
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369139512080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369139541736
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369139543499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139545371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139546073
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1369139546869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139547212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139547976
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1369139592093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369139595166
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369139604370
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139605587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139606227
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1369139607506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139607818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139608535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369139616647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139618114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139618925
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1369139619736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139620079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139620813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369139625103
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369139625274
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369139625633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369139625851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369139626039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369139626288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369139626756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369139627146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369139627567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369139630656
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369139634385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369139637957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139639658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139640297
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1369139641155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139641498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139642247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369139653666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139655507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139656131
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1369139657364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139657707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139658440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369139663650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139665117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139665725
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1369139666412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139666724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369139667348
