what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816478289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816513469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371816518452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816519697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816521437
executed,command,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui.targetBuildLastCommand",1371816521444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816523071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816523799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816527781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816547162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371816650539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371816719350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371816723775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816726308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816727007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371816756107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816756408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816758940
executed,command,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui.targetBuildLastCommand",1371816758951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816760190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816760878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371816766269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816766961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816767308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371816769471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816771774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816772409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371816803572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371816805927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816807071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816807379
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371816881815
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1371816889184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371816897472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371816905548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816910366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816911158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371816921013
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371816927504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816929708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816930393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816967727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371816972525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371817177536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371817179463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371817179958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371817242256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371817260906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371817327835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371817331151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371817337863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371817338203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371817419400
