what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368958897380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368958902480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1368958916130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368958918160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368958918800
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1368958919870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368958920190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368958925290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1368958981290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1368958984240
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1368959015680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959018180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959019070
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1368959021930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959022250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959027580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1368959053970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959058440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959059060
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1368959061430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959061760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959066952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1368959091052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1368959093572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1368959097982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1368959098372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1368959098812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1368959128392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1368959130822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1368959134572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1368959134992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1368959135162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1368959174592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959176202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959177094
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1368959177854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959178184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959183854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1368959209344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959211184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959211834
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1368959212624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959212944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959218624
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1368959243744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959245534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959246374
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1368959247444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959247744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959253334
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1368959279164
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1368959279704
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368959285404
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368959285424
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368959294954
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368959297874
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1368959297924
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1368959298934
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368959303904
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1368959305735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959307605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959308305
error,log,,,"Can't access project nature",1368959309415
error,log,,,"Unhandled event loop exception",1368959309425
error,log,,,"Can't access project nature",1368959312615
error,log,,,"Unhandled event loop exception",1368959312625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959316865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959317015
error,log,,,"Can't access project nature",1368959318475
error,log,,,"Unhandled event loop exception",1368959318475
error,log,,,"Can't access project nature",1368959319505
error,log,,,"Unhandled event loop exception",1368959319505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959323215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959323347
error,log,,,"Can't access project nature",1368959324377
error,log,,,"Unhandled event loop exception",1368959324387
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1368959326177
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1368959329657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959329977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959336057
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368959344077
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1368959352817
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1368959354237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959354547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959360767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1368959370007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1368959373707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959375397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368959376247
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1368959377657
