what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368945255907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1368945261177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368945264007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368945264607
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1368945265307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368945265637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368945269677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368946598862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368946600327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368946602322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368946734702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368946737938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368946931014
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1368946957366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368946959433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368946960276
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1368946961151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368946961495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368946965560
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1368947013662
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1368947013812
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368947013812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.close",1368947013832
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368947017572
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368947017612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947021522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947022232
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1368947022782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947023112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947027102
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1368947040922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1368947136062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947137742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947138582
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1368947140342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947140672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947144292
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1368947154102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947156192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947156772
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1368947158602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947158932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947162532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1368947176982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947178882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947179392
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1368947180302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947180632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947184212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947224152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947224362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947243512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947248862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1368947257552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1368947260712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1368947266032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947268382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947268652
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1368947269312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947269672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368947273242
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1368947283312
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1368947284402
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1368947285652
