what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368776479835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1368776492674
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1368776522314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1368776532251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1368776533437
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1368776536557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368776540660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368776541284
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1368776542485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368776542859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368776546120
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368776575760
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1368776579550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1368776583029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368776586446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368776593341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368776593388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368776593715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1368776593715
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368776603684
