what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1369128729094
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1369128729094
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1369128729094
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1369128729094
java.vm.specification.version,sysinfo,,,"1.7",1369128729094
java.vm.vendor,sysinfo,,,"Oracle Corporation",1369128729094
java.vm.version,sysinfo,,,"23.5-b02",1369128729094
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1369128732246
started,bundle,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.ui",1369128733166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369128733213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369128736458
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1369128736473
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1369128739422
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1369128740638
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1369128741325
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1369128741387
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1369128741387
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1369128741387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369128741450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369128741606
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1369128741668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369128742011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369128742308
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1369128750014
