what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1371544476273
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1371544476273
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1371544476273
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1371544476273
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1371544476273
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1371544476273
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1371544476273
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1371544476273
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1371544476273
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1371544476273
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1371544476273
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1371544476333
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1371544476333
started,bundle,de.innot.avreclipse.core,2.4.0.20111202-1142-beta,"de.innot.avreclipse.core",1371544476333
os,sysinfo,,,"win32",1371544476343
arch,sysinfo,,,"x86",1371544476343
ws,sysinfo,,,"win32",1371544476343
locale,sysinfo,,,"pl_PL",1371544476343
processors,sysinfo,,,"4",1371544476343
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1371544476343
java.runtime.version,sysinfo,,,"1.7.0_09-b05",1371544476343
java.specification.name,sysinfo,,,"Java Platform API Specification",1371544476343
java.specification.vendor,sysinfo,,,"Oracle Corporation",1371544476343
java.specification.version,sysinfo,,,"1.7",1371544476343
java.vendor,sysinfo,,,"Oracle Corporation",1371544476343
java.version,sysinfo,,,"1.7.0_09",1371544476343
java.vm.info,sysinfo,,,"mixed mode",1371544476343
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1371544476343
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1371544476343
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1371544476343
java.vm.specification.version,sysinfo,,,"1.7",1371544476343
java.vm.vendor,sysinfo,,,"Oracle Corporation",1371544476343
java.vm.version,sysinfo,,,"23.5-b02",1371544476343
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1371544479423
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1371544480293
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1371544484413
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1371544484493
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1371544484523
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1371544484523
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1371544484533
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1371544486633
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1371544486663
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1371544486663
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1371544487353
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1371544487353
