what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1370280536252
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1370280537752
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1370280537762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280538152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280539122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280542712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280543162
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1370280558233
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1370280565143
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1370280570073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370280581003
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1370280582823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280583103
error,log,,,"Errors occurred during the build.",1370280583133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280585473
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1370280587433
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1370280589293
error,log,,,"Errors occurred during the build.",1370280589563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280589593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280593283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280596403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280610953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280611263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280611463
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1370280611493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280613343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280613963
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1370280619643
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1370280623963
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1370280624003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280625863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280627773
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1370280627783
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1370280628863
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1370280631763
error,log,,,"Errors occurred during the build.",1370280632003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280632043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280637973
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1370280644183
error,log,,,"Errors occurred during the build.",1370280644433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280644453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280646143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370280647033
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1370280648273
error,log,,,"Errors occurred during the build.",1370280648573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280648643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280650293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1370280653433
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1370280654563
error,log,,,"Errors occurred during the build.",1370280654823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280654853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280676623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280677663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370280680183
