what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495656973
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1369495658583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1369495659313
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495660843
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495660843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369495663683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369495671843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495677856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495687456
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1369495688926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495693206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369495694106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495695676
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495695766
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495695796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495699886
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495702776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495702806
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495702816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1369495704236
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1369495704576
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495706096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369495708176
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369495709476
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495710856
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495711596
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495711596
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495712296
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495733586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495734706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495740796
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1369495741656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495749256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369495750446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495751966
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495752046
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495752086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495753836
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495756506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495756536
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495756546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1369495758156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1369495758836
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495760386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1369495761446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369495762156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369495762916
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495763926
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495764536
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495764536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495767406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495768556
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495769206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495770726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495770846
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495771736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495773026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495773206
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495773996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495775176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495775386
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369495776386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495777516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495777816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495779476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495781416
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1369495781426
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1369495782826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495801766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495824566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495824886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495825096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369495826696
